id,name,date_of_birth,GPA,course,department,fees_paid
1d7b3915-46ea-4784-be96-563426f03e70,Aaron Page,2005-11-20 09:54:34.387003,1.5294967818949856,,Science And Engineering,True
a1d10c48-1c88-4c50-86df-bd2b1f337830,Elizabeth Moore DDS,2007-09-18 09:54:34.387269,2.9443657836796797,,Life Sciences,False
f8f5f7bd-200a-4b76-8594-f7b3b3f1ca5c,Joshua Grimes,2004-09-12 09:54:34.387454,0.12182591477137494,,Science And Engineering,False
34d50436-7572-445f-8c94-f2850e478cf1,Justin Rogers,2000-10-17 09:54:34.387628,1.4047489755387548,,Life Sciences,True
95910547-ffa0-4d47-a9c9-8e8215839920,Emily Diaz,2004-12-18 09:54:34.387791,3.1682043648904306,,Arts And Humanities,False
26a6d912-9d2c-454c-bb08-65c1fdf82124,Brittney Moore,2005-01-28 09:54:34.387958,0.2058072896659664,,Science And Engineering,False
607d7a35-463b-4e48-9869-6b007ae8b7a5,Laura Rich,2003-07-31 09:54:34.388109,0.7344806108893343,,Arts And Humanities,False
2970295b-2e8a-4ea0-ab68-d464ada67589,Deborah Allen,2001-05-24 09:54:34.388263,3.562756425271163,,Science And Engineering,False
192af4bf-b8e4-4fac-b668-6e97a76bb0ab,Curtis Martinez,2006-04-30 09:54:34.388418,0.9780015947530623,,Life Sciences,False
46266ab3-7a22-46e6-ba76-4f950dc0910b,Alyssa Walker,2001-10-14 09:54:34.388565,2.963118115363654,,Science And Engineering,False
